host_id,host_name,host_since,host_is_superhost,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_identity_verified
387213019,Stalin,2021-02-04,t,within an hour,100%,83%,1,1,t
456833253,Amie-Camila,2022-04-30,t,within an hour,100%,96%,1,1,t
315495929,Hope,2019-12-08,f,,,0%,1,2,t
197334458,Irene & Dario,2018-06-22,t,within an hour,100%,70%,1,1,t
90222146,Jeremy,2016-08-16,t,within an hour,100%,100%,1,2,t
245820392,Kurt,2019-02-27,f,,,,1,1,t
457450168,Joseph & Christy Cozy Suites,2022-05-04,f,,,100%,1,2,t
457788721,Irmgard,2022-05-06,f,,,,1,1,f
23671907,Amy & Hamon,2014-11-12,f,within an hour,100%,100%,1,2,t
389478900,Manjot,2021-02-21,f,,,,1,2,f
78199715,Sandy,2016-06-17,t,within an hour,100%,95%,1,1,t
459479017,Hofit,2022-05-16,f,within an hour,100%,100%,2,2,t
459622536,Douglas,2022-05-17,t,within an hour,100%,100%,1,1,t
283395067,Rochelle,2019-08-06,f,,,,2,3,f
38974702,Joey,2015-07-19,t,within an hour,100%,94%,1,1,t
188191480,Jebbin,2018-05-06,t,,,100%,1,2,t
141768886,Veronica,2017-07-21,f,within a few hours,86%,86%,1,1,f
460918049,LaPaix Stays,2022-05-25,t,within an hour,100%,100%,2,2,t
461293333,Jonathon,2022-05-27,f,within an hour,100%,82%,2,4,t
338241485,Obinna,2020-02-23,f,within an hour,100%,98%,1,2,t
22591698,Andrea,2014-10-15,f,,,95%,2,2,t
244047915,Taylor,2019-02-19,f,within an hour,100%,92%,3,4,t
349174628,Manjot,2020-06-08,f,within an hour,100%,91%,1,1,t
363318613,Raveen,2020-08-19,f,,,,1,1,t
109258692,Alexandra,2016-12-31,t,within an hour,100%,83%,2,2,t
90629172,Mary,2016-08-18,f,within an hour,100%,97%,1,1,t
267996187,Uyi,2019-06-12,f,within an hour,100%,100%,1,1,t
239318754,Mick And Marilyn,2019-01-27,t,,,93%,1,1,t
204252057,Emmanuel,2018-07-22,f,within an hour,100%,96%,2,2,t
194085540,Lisa,2018-06-07,t,within an hour,100%,100%,1,2,t
34315985,Angelica,2015-05-26,f,within an hour,100%,100%,1,1,t
93824847,Trevor,2016-09-06,f,,,,2,2,t
465288428,Saheed,2022-06-20,f,within a few hours,100%,69%,1,2,t
465303687,Ben,2022-06-21,f,within an hour,100%,92%,1,1,t
465414163,Michelle,2022-06-21,f,within an hour,100%,100%,1,1,t
465435507,Oluwayomi,2022-06-21,t,within an hour,100%,100%,1,2,t
608418,Jessica,2011-05-20,t,,,100%,1,4,t
90150257,Sihaam And Said,2016-08-16,t,within an hour,100%,99%,2,2,t
466392024,Brett,2022-06-27,t,within an hour,100%,100%,1,1,t
109017770,Jyoti,2016-12-29,f,,,,1,4,t
36125863,Paul,2015-06-18,t,within an hour,98%,97%,13,13,t
244962690,Jon,2019-02-23,t,within a few hours,100%,96%,1,1,t
404190157,Osama,2021-05-29,f,a few days or more,0%,83%,1,1,t
89719741,Noah,2016-08-13,t,within an hour,100%,98%,1,1,t
47870775,Gursimran,2015-11-01,f,a few days or more,0%,0%,1,1,f
352383727,Ivy,2020-06-28,t,within an hour,100%,100%,1,1,f
458645860,Anita,2022-05-11,f,within a few hours,100%,100%,1,1,t
404786703,Bambilyn,2021-06-01,t,within an hour,100%,97%,5,16,t
437598755,Asher,2021-12-26,f,,,,1,1,t
374000554,Syed Amir Abbas,2020-10-31,f,within an hour,100%,100%,1,1,t
469127367,Terry,2022-07-12,f,within an hour,100%,94%,2,2,t
469710185,Maggie,2022-07-15,t,within an hour,100%,93%,5,5,t
470276269,Atinuke,2022-07-18,f,within an hour,100%,91%,3,3,t
189116794,Ebele,2018-05-11,t,within an hour,100%,93%,2,2,t
173098000,Hinan,2018-02-12,f,,,,2,2,t
471379735,Victor,2022-07-24,t,within an hour,100%,100%,1,1,f
103035630,Yutta,2016-11-08,f,,,,1,1,t
466050732,Princess,2022-06-25,f,within an hour,100%,77%,3,13,t
314955795,Afeez,2019-12-06,t,within an hour,100%,97%,4,4,t
458280314,Olaitan,2022-05-09,t,within an hour,100%,99%,1,2,t
200167560,Tyler,2018-07-05,f,,,0%,1,1,f
190173415,Daniell,2018-05-17,t,within an hour,100%,99%,5,5,t
445827435,Fatima,2022-02-19,t,within an hour,100%,100%,1,2,t
96367686,Joshua,2016-09-22,f,within a few hours,100%,100%,1,1,t
474491836,Dimash,2022-08-11,f,within an hour,100%,98%,3,3,t
400279201,Hassan,2021-05-06,f,within an hour,100%,67%,1,2,t
455544304,Suleiman,2022-04-22,f,within a few hours,100%,94%,1,1,t
475028535,Femi,2022-08-14,t,within an hour,100%,100%,1,1,t
464622639,Manik,2022-06-16,f,,,100%,1,3,f
475377213,Adedoyin,2022-08-16,f,within a few hours,100%,100%,2,3,t
475539386,Wole,2022-08-17,t,within an hour,100%,100%,1,1,t
108753850,Safina,2016-12-27,f,within a few hours,100%,50%,3,4,t
166125558,April,2018-01-06,f,within an hour,100%,99%,1,5,t
475930156,Amanda,2022-08-20,f,within an hour,100%,100%,1,2,t
476932751,Helen,2022-08-27,f,,,100%,2,2,t
477141364,Stefan,2022-08-28,t,within an hour,100%,98%,4,4,t
214358419,Gbara,2018-09-09,t,within an hour,100%,93%,3,4,t
289206621,Emmanuel,2019-08-26,f,within an hour,100%,97%,3,5,t
72603724,Luxxe Host,2016-05-17,t,within an hour,100%,99%,13,13,t
454339347,Matthew,2022-04-14,f,,,0%,1,2,f
157151397,Benita,2017-11-02,f,,,100%,1,1,t
391819018,Daniel,2021-03-09,f,within an hour,100%,91%,3,4,t
66751493,Trish,2016-04-11,t,within an hour,100%,96%,3,3,t
436255816,Francis,2021-12-16,t,,,98%,1,1,t
478092402,Julie,2022-09-04,t,,,94%,1,1,t
44942967,Ian,2015-09-23,t,within an hour,100%,88%,2,2,t
135852781,Jackie,2017-06-19,f,within an hour,100%,87%,1,1,t
478633629,Shady,2022-09-08,f,,,100%,3,3,t
120789349,Harsh,2017-03-14,f,within an hour,100%,100%,1,3,t
190491390,Patricia,2018-05-19,t,within an hour,100%,100%,1,1,t
280206152,An,2019-07-28,,,,,4,4,f
479766491,Matthew,2022-09-16,t,within an hour,100%,73%,1,1,t
57909438,Gabrielle,2016-02-08,f,,,,1,1,f
480282033,Angela,2022-09-20,t,within an hour,100%,95%,1,1,f
99144216,June,2016-10-10,f,within an hour,100%,,5,10,t
412288112,Kim,2021-07-11,f,,,,1,2,f
480875037,Brett,2022-09-24,f,within an hour,100%,100%,1,1,t
480947763,Hari,2022-09-25,f,,,,1,1,t
130899788,Donavan,2017-05-18,t,within an hour,100%,100%,1,1,t
203874825,Fatima,2018-07-20,t,within an hour,100%,84%,2,3,t
407374913,Rony,2021-06-15,t,within an hour,100%,100%,1,1,t
31174814,Joanna,2015-04-13,f,within a day,100%,72%,1,1,t
408029138,Elvis,2021-06-19,t,within an hour,100%,91%,2,2,f
269294765,Deepak,2019-06-17,f,,,88%,1,1,t
349205781,Nusrat Jahan,2020-06-08,t,within an hour,100%,94%,1,1,t
157290752,Ibhade,2017-11-03,t,,,100%,1,1,t
134145647,Faisal,2017-06-08,t,within an hour,100%,97%,2,4,t
482542956,Adewumi,2022-10-06,f,,,,1,1,t
397916792,Chris,2021-04-20,f,within an hour,100%,100%,1,1,t
483049727,Nadiia,2022-10-10,f,,,,1,1,f
435130187,Ramon,2021-12-07,f,within a few hours,90%,86%,4,6,t
268838800,Maria,2019-06-15,f,within a day,70%,69%,1,2,t
420313773,A.S Management,2021-08-26,f,within an hour,100%,100%,3,4,t
160236784,Christine,2017-11-26,f,,,0%,1,2,t
22029072,Fernando,2014-10-02,f,,,,1,2,t
69360661,Ali,2016-04-28,f,within an hour,100%,90%,5,5,t
484764956,Abdul,2022-10-23,f,,,,1,1,f
200504909,Merryn,2018-07-07,t,within a few hours,100%,90%,4,4,t
442302582,Mark,2022-01-26,t,within an hour,100%,95%,2,2,t
247701614,JoAnne,2019-03-08,f,,,75%,2,3,t
184007908,Jason,2018-04-13,t,within an hour,100%,100%,1,1,t
197115313,Candy,2018-06-21,f,within an hour,100%,98%,4,4,t
422350663,Meghan,2021-09-09,t,within an hour,100%,100%,2,2,t
113434889,Naseer,2017-01-26,f,within an hour,100%,100%,1,1,t
338502195,Jaskiran,2020-02-24,f,,,,1,1,t
210947588,BeCey,2018-08-21,t,within a few hours,100%,97%,1,1,t
415683678,Ashley,2021-07-28,t,within an hour,100%,93%,1,1,t
487101454,Hailetsion,2022-11-09,f,,,58%,1,1,t
41880116,Francis,2015-08-19,t,within an hour,100%,89%,2,2,t
104713910,Erika,2016-11-21,t,within an hour,100%,100%,1,1,f
487428279,Romeo,2022-11-12,f,within an hour,100%,90%,3,5,f
188042898,Karl Maverick,2018-05-05,t,within an hour,100%,99%,1,4,t
487757620,Emmanuel,2022-11-14,t,within an hour,100%,100%,2,2,f
189966786,Sandy,2018-05-16,f,within an hour,100%,100%,1,1,t
217273874,Anna,2018-09-25,f,within an hour,100%,100%,1,1,t
225148376,Vraj,2018-11-10,,within an hour,100%,100%,3,3,t
328785582,Javier,2020-01-18,t,within an hour,100%,100%,1,1,t
488907731,Mustafa,2022-11-23,f,,,100%,1,1,f
488997166,James,2022-11-24,t,within an hour,100%,100%,2,2,t
489217274,Sarbjeet,2022-11-26,f,,,,1,1,f
90847578,Mary,2016-08-19,f,,,80%,1,1,t
490001277,Brayden,2022-12-02,t,within an hour,100%,93%,12,13,t
183034508,Tolu,2018-04-08,t,within an hour,100%,100%,1,2,t
108393150,Ikenna,2016-12-25,t,within an hour,100%,97%,3,3,t
81768434,Peggie,2016-07-04,f,within an hour,100%,96%,2,3,t
312790559,Raed,2019-11-28,f,within an hour,100%,100%,3,3,t
490990684,Ghassan,2022-12-11,t,within an hour,100%,90%,1,1,t
233944566,Seyi,2019-01-02,t,,,100%,1,1,t
1510071,Brian,2011-12-16,f,,,,1,1,f
368298474,Fatine Chaimae,2020-09-19,f,within a day,100%,31%,1,2,t
73541988,Tola,2016-05-23,f,,,0%,1,2,t
492435485,Jasdeep,2022-12-22,f,within an hour,100%,97%,1,1,t
11630332,Harun,2014-01-25,t,within a day,100%,91%,1,1,t
334326088,Annie,2020-02-07,f,a few days or more,0%,,1,1,t
493140661,Laraib,2022-12-28,f,,,,1,1,f
493612985,Star,2022-12-31,f,,,100%,1,1,f
144021650,Marie Hope,2017-08-02,f,,,0%,1,1,t
493916622,Abigail,2023-01-02,t,within an hour,100%,100%,1,2,t
217502979,Blue Bell Properties,2018-09-26,t,within an hour,100%,99%,5,5,t
53173059,Misty,2016-01-03,t,within an hour,100%,68%,1,2,t
476827844,Inderjeet,2022-08-26,t,within an hour,100%,100%,7,7,t
246472728,Sola,2019-03-02,t,,,88%,3,3,t
494639760,Gregory,2023-01-06,f,,,0%,1,1,f
119677065,Vahab,2017-03-07,f,within an hour,100%,60%,1,2,t
108882935,Johise,2016-12-28,f,within an hour,100%,97%,1,1,t
495936866,Yommy,2023-01-13,t,within an hour,100%,98%,2,2,t
239225423,Jeremiah,2019-01-27,t,within an hour,100%,90%,1,1,t
25502012,Berina,2015-01-02,t,within an hour,100%,100%,3,4,t
496853546,Stanislav,2023-01-19,t,within an hour,100%,100%,2,2,t
82120981,Mustaqeem,2016-07-06,f,,,25%,2,3,t
303258505,Elizabeth,2019-10-19,f,within an hour,100%,99%,1,1,t
497432200,Nathanel,2023-01-22,f,within an hour,100%,99%,5,5,t
496303026,Perry,2023-01-15,t,within a few hours,100%,86%,4,4,t
497826843,Lawrence,2023-01-24,t,within an hour,100%,96%,1,2,f
497078358,Sk,2023-01-20,f,a few days or more,0%,0%,1,1,t
499729139,Taiwo,2023-02-05,f,,,,2,2,f
498610116,Tianqiao,2023-01-29,f,within an hour,71%,49%,5,5,t
106423347,Bryan,2016-12-06,t,,,94%,1,1,t
382181745,Oluwaseun,2020-12-29,t,within an hour,100%,100%,2,2,t
41268859,Janelle,2015-08-12,f,within a day,86%,75%,2,3,t
105960155,Yi,2016-12-02,f,within an hour,100%,99%,2,3,t
499260399,Huan,2023-02-02,f,within an hour,71%,97%,2,4,t
498256345,Funmilayo,2023-01-27,t,within an hour,100%,100%,1,1,t
385506620,Glory,2021-01-21,f,,,77%,1,1,t
471674834,Enrique,2022-07-26,f,within an hour,100%,79%,1,1,f
500047144,Oleksandra,2023-02-07,f,,,,1,1,f
323919511,Owen,2020-01-03,t,within an hour,95%,100%,1,1,f
499870525,Olateju,2023-02-06,f,within a day,100%,97%,1,1,f
482635349,Temitope,2022-10-07,f,within an hour,100%,83%,7,9,t
171141300,Stephen,2018-02-01,t,within an hour,100%,92%,3,3,f
500948469,Wei,2023-02-13,f,,,0%,1,1,t
501061263,Kay,2023-02-14,f,,,100%,4,4,t
495909176,Yetunde,2023-01-13,t,within an hour,100%,87%,4,4,t
136585047,Kat,2017-06-23,t,within an hour,100%,100%,1,1,f
500388223,Tolulope,2023-02-09,f,within an hour,100%,100%,1,1,t
73613959,Wally,2016-05-23,f,,,,1,1,f
188396400,Sharon,2018-05-07,t,within an hour,100%,100%,1,3,t
52574471,Phyllis,2015-12-28,f,within an hour,100%,70%,2,2,t
284745146,Menandro,2019-08-11,t,within an hour,67%,83%,1,1,t
53461430,Grant,2016-01-05,f,,,0%,1,1,t
504382401,Ayoku,2023-03-07,f,,,100%,1,1,t
504890496,Abraham,2023-03-11,t,within an hour,100%,97%,1,1,t
46965605,Obakemi,2015-10-19,t,within an hour,100%,98%,1,1,t
201086934,Beulah,2018-07-09,f,,,87%,1,1,t
238338657,Jansen,2019-01-22,f,within an hour,100%,100%,1,1,t
505609787,Manav,2023-03-15,t,within an hour,100%,99%,1,1,t
293404010,Jagraj,2019-09-09,f,,,,1,2,t
345289005,Ugochukwu Stephen,2020-05-03,f,within a few hours,100%,33%,4,4,t
134797550,Braydin,2017-06-12,t,within a few hours,100%,100%,1,2,t
482384570,Nelson,2022-10-05,f,,,,1,2,t
149889186,Sana,2017-09-09,f,within an hour,100%,88%,4,4,t
198593303,Carla,2018-06-28,t,,,91%,2,2,t
173065051,Victoria,2018-02-12,f,within a few hours,83%,71%,1,1,t
219371531,Lanre,2018-10-08,f,within an hour,100%,85%,6,7,t
499957527,Winnipeg,2023-02-07,t,within an hour,100%,98%,5,7,t
486626786,Sergio,2022-11-06,f,within an hour,100%,89%,1,1,t
499376912,Jeanvive,2023-02-03,t,within an hour,100%,100%,3,4,t
32686835,Rajbir,2015-05-05,f,within an hour,100%,97%,1,1,t
212884088,Stanley,2018-08-31,f,,,80%,1,1,t
179644049,Hilary,2018-03-20,f,within a few hours,100%,81%,1,4,t
508934469,Yusuf,2023-04-07,f,within an hour,96%,97%,1,1,t
493541570,Mujidat,2022-12-30,t,within an hour,100%,97%,1,2,t
509040045,Viacheslav,2023-04-07,f,within an hour,100%,100%,1,1,t
78504236,Angela,2016-06-18,f,,,62%,2,4,f
462708063,Jirah,2022-06-05,f,,,89%,7,8,t
435942684,Jessi,2021-12-13,t,within an hour,100%,100%,3,3,t
488338721,Tope,2022-11-19,t,within a day,50%,67%,1,1,t
510500368,Accommodation Winnipeg,2023-04-17,t,within an hour,100%,80%,2,2,t
490654290,Shubham,2022-12-07,f,,,33%,1,2,t
510638047,Spruce,2023-04-18,t,within an hour,100%,99%,7,7,t
45499469,Jill,2015-10-01,f,within an hour,100%,100%,1,1,t
510966484,Vansh,2023-04-20,f,a few days or more,0%,25%,1,2,t
151822828,Hamza,2017-09-23,f,within an hour,100%,92%,1,2,t
120478876,Demba,2017-03-13,f,,,0%,1,2,t
146678771,Motunrayo,2017-08-18,f,within a few hours,100%,100%,1,2,t
120127483,Munyaradzi Godfrey,2017-03-10,f,within an hour,100%,0%,1,1,t
123007199,Karen,2017-03-28,f,within an hour,100%,98%,2,3,t
166420371,Vicky,2018-01-07,f,,,100%,1,1,t
357327563,Virali,2020-07-19,t,within an hour,100%,100%,3,3,t
97322401,Hannah,2016-09-29,f,within an hour,100%,97%,1,2,t
512113932,Gaeli,2023-04-27,t,,,100%,3,3,t
513044735,Omosolape,2023-05-03,f,within a few hours,100%,100%,2,3,t
513603806,Alex,2023-05-07,f,within an hour,100%,100%,1,2,t
513824776,Abdul,2023-05-08,t,within an hour,100%,100%,1,1,t
513842647,Samson,2023-05-08,t,,,78%,3,3,t
141253798,Sona,2017-07-19,f,,,0%,2,2,t
7599279,Susan,2013-07-19,t,within an hour,100%,90%,1,7,t
445527464,Julien,2022-02-17,t,within an hour,100%,78%,1,1,t
514171247,Sophia,2023-05-10,t,within an hour,100%,91%,1,1,t
444023000,Henry,2022-02-07,t,within an hour,100%,98%,1,1,f
144802842,Jeanne,2017-08-07,t,within an hour,100%,100%,1,1,t
239490047,Alyson,2019-01-28,f,within an hour,100%,98%,1,1,t
290538196,Joseph & Grace,2019-08-31,f,,,100%,1,1,t
366287857,Oladimeji,2020-09-06,t,within an hour,100%,92%,3,3,t
516051137,Adefunke,2023-05-22,f,a few days or more,0%,19%,1,1,f
516057922,Veerpal,2023-05-22,t,within an hour,100%,100%,1,1,t
516223225,Rita,2023-05-23,f,within a few hours,100%,100%,3,3,t
464282012,Shaun,2022-06-14,f,,,0%,1,1,f
516570011,Atul,2023-05-25,f,within an hour,100%,99%,4,4,t
517034752,Nate,2023-05-28,t,within an hour,100%,100%,5,5,t
473389677,Tunde,2022-08-04,t,within an hour,100%,85%,1,1,f
465211069,Ishan,2022-06-20,f,,,0%,1,1,t
43532664,Linnea,2015-09-06,t,within an hour,100%,94%,3,3,t
421655552,Oluseyi,2021-09-04,t,within an hour,100%,100%,1,1,t
455331517,Carley,2022-04-21,f,within an hour,100%,100%,12,13,t
341399288,Pari,2020-03-12,t,within an hour,100%,100%,3,3,t
30447137,Jonathan,2015-04-01,f,within a day,50%,0%,1,1,t
508257433,Moe,2023-04-02,t,within an hour,100%,100%,1,1,t
147095305,Quinn,2017-08-21,f,,,100%,1,2,t
125062823,Bilal,2017-04-09,f,,,82%,2,2,f
394720153,Emeka,2021-03-29,f,within an hour,100%,100%,1,1,t
353056290,Shakirudeen,2020-07-02,t,within an hour,100%,100%,1,1,t
317295003,Kunwer,2019-12-14,f,within a few hours,90%,96%,1,1,t
519621970,Younik Stays,2023-06-12,t,,,100%,1,1,t
520018640,Neema,2023-06-14,f,,,100%,1,1,t
520543688,Olalekan,2023-06-17,t,within a few hours,93%,96%,1,1,f
296520314,Ayo,2019-09-20,t,within a few hours,100%,70%,1,1,f
200598843,Babatola,2018-07-07,t,within an hour,100%,100%,1,4,t
520833964,Olutade,2023-06-19,f,within an hour,100%,100%,1,1,t
520850940,Grace,2023-06-19,t,within an hour,100%,100%,2,2,t
520938504,Mofiyinfoluwa,2023-06-19,t,within a few hours,100%,96%,3,3,t
209633673,Ana,2018-08-15,t,within an hour,100%,100%,1,1,t
316693274,陶,2019-12-12,f,,,33%,1,1,t
324752164,Spyros,2020-01-06,t,within an hour,100%,100%,2,2,t
371275821,Mariam,2020-10-09,t,within an hour,100%,99%,2,2,t
522260141,Keeno,2023-06-26,t,within an hour,100%,92%,1,1,t
377019941,Francis,2020-11-25,t,within an hour,100%,93%,3,3,t
20173373,Riolina,2014-08-17,f,within an hour,100%,100%,1,2,t
61325524,Enerosa,2016-03-02,f,within a few hours,100%,87%,2,2,t
111124273,Kiren,2017-01-12,f,within an hour,100%,100%,1,1,t
65920003,Avril,2016-04-05,t,within an hour,100%,100%,1,3,t
489007478,Alex,2022-11-24,f,within an hour,100%,100%,2,3,t
523794749,Humble And Grand,2023-07-04,f,within an hour,100%,100%,2,2,t
191390482,Charlotte,2018-05-24,f,within an hour,100%,94%,1,1,t
76132371,Diku,2016-06-06,f,within an hour,100%,100%,2,2,t
524336673,Adeniyi,2023-07-07,f,within a few hours,100%,100%,1,1,f
185061517,Fiogho,2018-04-18,f,within an hour,100%,100%,2,3,t
228988277,Lan,2018-12-04,f,within an hour,100%,94%,2,2,t
207755907,Fahad,2018-08-06,f,within an hour,100%,96%,1,1,f
521145067,Mohd,2023-06-20,f,within an hour,100%,100%,3,6,t
525372413,Isaac,2023-07-13,t,within an hour,100%,100%,1,1,f
525676744,Etmen,2023-07-14,t,within an hour,100%,100%,4,4,t
477625553,Dave,2022-09-01,f,within an hour,100%,86%,2,5,t
449923374,Oriana,2022-03-16,t,within an hour,100%,100%,1,1,t
13610265,Leila,2014-03-27,t,within an hour,100%,62%,1,1,t
109560197,Kevin,2017-01-02,t,,,95%,1,1,t
168181344,Maria,2018-01-16,f,,,,1,1,f
226696289,Rey,2018-11-20,t,within an hour,100%,85%,1,1,t
394874347,Uche,2021-03-30,f,,,100%,1,1,t
526950332,Veerpal,2023-07-20,t,within an hour,100%,100%,1,1,t
71841563,Kaitlyn,2016-05-13,f,within an hour,100%,,1,1,t
323249604,Oluwafemi,2020-01-01,f,within an hour,100%,100%,1,3,t
365348575,Heinz,2020-08-31,f,within a few hours,100%,100%,1,1,f
200198124,Jay,2018-07-05,t,within an hour,100%,97%,1,1,t
425816789,Seyi,2021-10-03,t,within an hour,100%,100%,2,2,t
527070318,BESTbodyby,2023-07-21,f,within an hour,100%,92%,1,1,t
226864685,Abdullah,2018-11-21,f,,,50%,1,1,t
125041161,Abdal,2017-04-09,t,within an hour,100%,100%,1,1,t
38761552,Marikit,2015-07-17,f,,,,1,3,t
279143971,Raheem Olabamiji,2019-07-25,f,within an hour,100%,67%,1,3,t
18581972,Ryan,2014-07-21,t,within an hour,97%,93%,7,14,t
11485362,Steve,2014-01-20,t,within an hour,100%,100%,1,5,t
111857130,Sajad,2017-01-17,f,,,80%,1,1,t
495354207,Pillar Property,2023-01-10,f,a few days or more,25%,81%,2,5,t
254143761,Adeyemi,2019-04-08,f,within a few hours,100%,67%,1,4,t
55817662,Aiden,2016-01-23,,within an hour,100%,98%,17,18,t
529932140,Harjeet,2023-08-04,f,within a few hours,100%,88%,1,2,f
84993548,Tina,2016-07-20,t,within an hour,100%,100%,1,1,t
530692914,Simran,2023-08-08,f,within an hour,96%,87%,9,9,t
524937592,XiaoJuan,2023-07-10,f,,,,1,1,t
213255097,Toyin,2018-09-03,f,within an hour,100%,94%,2,4,t
530785576,Bryan,2023-08-09,f,within a few hours,100%,62%,1,1,t
491433686,Sara,2022-12-14,f,within an hour,100%,97%,7,7,t
370562798,Dave & Vicky,2020-10-04,f,,,100%,1,4,t
149264752,Lui,2017-09-05,f,within an hour,100%,69%,5,10,t
83319824,Wilfred,2016-07-12,t,within an hour,100%,97%,3,3,t
97837544,Sarah,2016-10-03,f,a few days or more,0%,75%,1,1,t
487674670,Mayowa,2022-11-14,t,within an hour,100%,96%,1,1,t
531689491,Manpreet,2023-08-13,t,within an hour,100%,93%,1,1,f
68156532,Robin,2016-04-20,t,within an hour,100%,100%,1,1,t
526585142,Simranjit,2023-07-18,f,a few days or more,0%,0%,1,1,f
496243022,Folakemi,2023-01-15,f,within an hour,100%,67%,1,1,f
73641054,Alsie,2016-05-23,t,within an hour,100%,97%,1,2,t
514911299,Valerie,2023-05-15,f,within an hour,100%,84%,1,1,t
414325314,Ankit,2021-07-21,f,within a day,100%,67%,1,1,t
532019741,Casa,2023-08-15,f,within an hour,100%,100%,2,2,t
27712287,Christian,2015-02-13,f,within a few hours,83%,50%,12,18,t
279290285,Akoko,2019-07-25,t,within an hour,100%,97%,2,2,t
532636522,Curtis,2023-08-18,t,within an hour,100%,88%,1,1,t
528332194,Sara,2023-07-27,t,within an hour,100%,93%,1,1,t
400106720,Deeds,2021-05-05,t,within an hour,100%,99%,3,3,t
70224105,Liz,2016-05-03,t,within an hour,100%,100%,1,1,t
129054956,Mehrdad,2017-05-05,f,within a few hours,100%,58%,1,1,t
449759805,Prairie,2022-03-15,f,within an hour,89%,100%,1,2,t
232720462,Adeyemi,2018-12-27,f,within an hour,100%,94%,1,1,t
416866822,Min,2021-08-04,f,within an hour,100%,69%,1,1,t
533550367,Grace,2023-08-23,f,within an hour,100%,100%,1,2,t
358040596,Michael,2020-07-23,f,within an hour,100%,100%,1,2,t
74166042,Ting,2016-05-26,f,,,0%,1,1,f
533922739,Catherine,2023-08-26,t,within an hour,100%,98%,2,2,t
78697903,Kevin,2016-06-19,f,within a few hours,100%,85%,1,1,t
534174465,Nevin,2023-08-27,f,within an hour,100%,90%,1,1,t
534330936,Sunday,2023-08-28,f,,,100%,1,1,f
241585267,Marcela,2019-02-06,t,within an hour,100%,100%,2,3,t
76385957,Patrick And Nikki,2016-06-07,t,within an hour,100%,95%,1,1,t
218611048,Troy,2018-10-03,t,within an hour,100%,95%,3,3,t
499131620,Madelaine,2023-02-01,t,within an hour,100%,96%,4,4,t
535542758,Kolawol,2023-09-04,f,,,,1,1,t
74217129,Ingrid,2016-05-26,f,within an hour,100%,100%,2,3,t
535715511,Craig,2023-09-05,f,within an hour,100%,,1,1,t
535889564,Rylen,2023-09-06,f,within a few hours,100%,97%,3,3,t
535902185,Lovepreet,2023-09-06,f,within an hour,100%,100%,3,3,t
33064537,Graham,2015-05-10,f,,,0%,1,1,t
456992018,Ayo,2022-05-01,f,,,67%,1,2,t
534424102,Chinaza,2023-08-28,f,within an hour,100%,78%,3,3,t
277411912,Andrei,2019-07-19,f,a few days or more,0%,100%,1,1,t
530737532,Shaikh,2023-08-08,f,,,0%,1,3,t
536536334,Tunde,2023-09-11,f,within a few hours,100%,100%,3,3,f
449940289,Chloe,2022-03-16,f,within an hour,100%,82%,1,1,t
372108143,Gulaine,2020-10-15,f,,,,1,1,t
417847986,Ridha,2021-08-10,f,within a few hours,100%,80%,1,2,t
318685830,Amador,2019-12-18,f,within an hour,100%,67%,1,4,t
352221563,Maryjane,2020-06-27,f,within an hour,100%,83%,1,2,t
387188310,Ayodeji,2021-02-03,f,within an hour,100%,96%,3,5,t
732657,Mo,2011-06-22,f,within an hour,100%,97%,2,2,t
538224257,E Street,2023-09-21,f,within an hour,99%,99%,18,20,t
538606941,Ivy,2023-09-23,t,within a day,70%,62%,2,2,t
538622174,Aneka,2023-09-23,f,within an hour,100%,92%,5,5,t
538787325,Yemi,2023-09-24,f,within an hour,100%,100%,1,1,t
538927532,Aksh,2023-09-25,f,within an hour,100%,100%,2,2,t
207335531,Kaeley,2018-08-04,t,within an hour,100%,94%,1,1,t
243322733,Keith,2019-02-15,f,within a few hours,88%,58%,1,1,t
187391059,Amahzino,2018-05-02,f,,,,2,2,t
516848815,Raphael,2023-05-27,t,within an hour,100%,84%,1,1,t
438319281,Pinky,2021-12-31,f,,,,1,1,t
506327253,Olayinka,2023-03-20,f,within an hour,100%,100%,2,2,t
134389342,Nicole,2017-06-10,f,a few days or more,33%,,1,1,t
486160232,Stephanie,2022-11-03,f,within a few hours,100%,33%,1,1,t
515905053,Jaspreet,2023-05-21,f,,,,1,1,f
537284172,Elora,2023-09-15,t,within an hour,100%,97%,1,2,f
540066940,Taiwo,2023-10-02,f,within an hour,100%,100%,2,2,f
380691857,Khaled,2020-12-18,f,within an hour,100%,100%,1,1,t
459402445,Ghady,2022-05-16,f,within a day,50%,100%,1,2,t
540844301,Michael,2023-10-07,f,within an hour,100%,83%,2,5,t
176682518,Angie,2018-03-05,f,within an hour,100%,100%,1,2,t
541149138,Trinh,2023-10-09,t,within an hour,100%,100%,2,2,t
390363566,Samanta,2021-02-27,f,,,,1,1,t
416878861,Joshua,2021-08-04,f,within a day,67%,100%,1,3,f
148838492,Marcia,2017-09-02,f,within an hour,100%,96%,3,3,f
299897428,Gurpreet,2019-10-03,f,within an hour,100%,100%,1,1,t
189299556,Enabulele,2018-05-13,t,within a few hours,100%,96%,3,3,t
542021993,Gloria,2023-10-15,f,within an hour,100%,100%,1,1,t
